Disease,New_Symptom_1,Symptom_1,Symptom_2,New_Symptom_2,New_Symptom_3,Symptom_3,Symptom_4,New_Symptom_4,Symptom_5,New_Symptom_5,Symptom_6,New_Symptom_6,Symptom_7,New_Symptom_7,Symptom_8,New_Symptom_8,Symptom_9,New_Symptom_9,Symptom_10,New_Symptom_10,Symptom_11,New_Symptom_11,Symptom_12,New_Symptom_12,Symptom_13,New_Symptom_13,Symptom_14,New_Symptom_14,Symptom_15,New_Symptom_15,Symptom_16,New_Symptom_16,Symptom_17
GERD,stomach pain,stomach_pain,acidity,acidity,ulcers on tongue,ulcers_on_tongue,vomiting,vomiting,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,ulcers on tongue,ulcers_on_tongue,vomiting,vomiting,cough,cough,,,,,,,,,,,,,,,,,,,,,,,
GERD,acidity,acidity,ulcers_on_tongue,ulcers on tongue,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,ulcers_on_tongue,ulcers on tongue,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,vomiting,vomiting,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,stomach_pain,acidity,acidity,ulcers on tongue,ulcers_on_tongue,cough,cough,chest_pain,chest pain,,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,vomiting,vomiting,yellowish_skin,yellowish skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,yellowish_skin,yellowish skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,loss_of_appetite,loss of appetite,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,itching,vomiting,vomiting,yellowish skin,yellowish_skin,nausea,nausea,loss_of_appetite,loss of appetite,abdominal_pain,abdominal pain,yellowing_of_eyes,yellowing of eyes,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,stomach pain,stomach_pain,burning_micturition,burning micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,stomach_pain,stomach pain,burning micturition,burning_micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,burning micturition,burning_micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,stomach pain,stomach_pain,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,stomach pain,stomach_pain,burning_micturition,burning micturition,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,skin rash,skin_rash,stomach_pain,stomach pain,burning micturition,burning_micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,stomach_pain,stomach pain,burning micturition,burning_micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,burning micturition,burning_micturition,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,stomach pain,stomach_pain,spotting_ urination,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,itching,skin_rash,skin rash,stomach pain,stomach_pain,burning_micturition,burning micturition,,,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,loss_of_appetite,loss of appetite,abdominal pain,abdominal_pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,abdominal pain,abdominal_pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,indigestion,loss_of_appetite,loss of appetite,abdominal pain,abdominal_pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,loss_of_appetite,loss of appetite,abdominal pain,abdominal_pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,abdominal pain,abdominal_pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,loss of appetite,loss_of_appetite,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,loss of appetite,loss_of_appetite,abdominal_pain,abdominal pain,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,loss of appetite,loss_of_appetite,abdominal_pain,abdominal pain,passage_of_gases,passage of gases,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,loss of appetite,loss_of_appetite,abdominal_pain,abdominal pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,vomiting,indigestion,indigestion,loss of appetite,loss_of_appetite,abdominal_pain,abdominal pain,passage_of_gases,passage of gases,internal_itching,internal itching,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,high fever,high_fever,extra_marital_contacts,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,patches in throat,patches_in_throat,high_fever,high fever,extra marital contacts,extra_marital_contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,high_fever,high fever,extra marital contacts,extra_marital_contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,extra marital contacts,extra_marital_contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,high fever,high_fever,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,high fever,high_fever,extra_marital_contacts,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,high fever,high_fever,extra_marital_contacts,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,patches in throat,patches_in_throat,high_fever,high fever,extra marital contacts,extra_marital_contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,high_fever,high fever,extra marital contacts,extra_marital_contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,muscle_wasting,patches_in_throat,patches in throat,high fever,high_fever,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,
Diabetes,weight loss,weight_loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,obesity,obesity,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Diabetes,fatigue,fatigue,weight_loss,weight loss,restlessness,restlessness,lethargy,lethargy,irregular_sugar_level,irregular sugar level,blurred_and_distorted_vision,blurred and distorted vision,obesity,obesity,increased_appetite,increased appetite,polyuria,polyuria,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,sunken eyes,sunken_eyes,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,dehydration,dehydration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,sunken eyes,sunken_eyes,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,dehydration,dehydration,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,vomiting,sunken_eyes,sunken eyes,diarrhoea,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,high fever,high_fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,cough,cough,high_fever,high fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,high_fever,high fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,high fever,high_fever,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,high fever,high_fever,breathlessness,breathlessness,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,high fever,high_fever,breathlessness,breathlessness,family_history,family history,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,cough,cough,high fever,high_fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,cough,cough,high_fever,high fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,fatigue,high_fever,high fever,breathlessness,breathlessness,family_history,family history,mucoid_sputum,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,dizziness,dizziness,loss_of_balance,loss of balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,chest pain,chest_pain,dizziness,dizziness,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,dizziness,dizziness,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,dizziness,dizziness,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,dizziness,dizziness,loss_of_balance,loss of balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,chest pain,chest_pain,dizziness,dizziness,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,dizziness,dizziness,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,headache,headache,chest_pain,chest pain,loss of balance,loss_of_balance,lack_of_concentration,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,
Migraine,indigestion,indigestion,headache,headache,blurred and distorted vision,blurred_and_distorted_vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,headache,headache,blurred and distorted vision,blurred_and_distorted_vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,blurred and distorted vision,blurred_and_distorted_vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,stiff_neck,stiff neck,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,depression,depression,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,irritability,irritability,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,visual_disturbances,visual disturbances,,,,,,,,,,,,,,,,,
Migraine,acidity,acidity,indigestion,indigestion,headache,headache,blurred_and_distorted_vision,blurred and distorted vision,excessive_hunger,excessive hunger,stiff_neck,stiff neck,depression,depression,irritability,irritability,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,neck pain,neck_pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,neck pain,neck_pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,weakness in limbs,weakness_in_limbs,neck_pain,neck pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,neck_pain,neck pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,neck pain,neck_pain,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,neck pain,neck_pain,dizziness,dizziness,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,weakness_in_limbs,weakness in limbs,neck pain,neck_pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,weakness in limbs,weakness_in_limbs,neck_pain,neck pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,back_pain,neck_pain,neck pain,dizziness,dizziness,loss_of_balance,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,weakness of one body side,weakness_of_one_body_side,altered_sensorium,altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,weakness of one body side,weakness_of_one_body_side,altered_sensorium,altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,headache,weakness_of_one_body_side,weakness of one body side,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,weakness_of_one_body_side,weakness of one body side,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,weakness of one body side,weakness_of_one_body_side,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,weakness of one body side,weakness_of_one_body_side,altered_sensorium,altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,headache,weakness_of_one_body_side,weakness of one body side,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,weakness_of_one_body_side,weakness of one body side,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,vomiting,headache,headache,altered sensorium,altered_sensorium,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,vomiting,vomiting,fatigue,fatigue,weight_loss,weight loss,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,vomiting,vomiting,fatigue,fatigue,weight_loss,weight loss,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,
Jaundice,vomiting,vomiting,fatigue,fatigue,weight loss,weight_loss,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,fatigue,fatigue,weight loss,weight_loss,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,vomiting,vomiting,weight loss,weight_loss,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,vomiting,vomiting,fatigue,fatigue,high_fever,high fever,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,
Jaundice,itching,itching,vomiting,vomiting,fatigue,fatigue,weight_loss,weight loss,yellowish_skin,yellowish skin,dark_urine,dark urine,abdominal_pain,abdominal pain,,,,,,,,,,,,,,,,,,,
